rank,community_a,size_a,community_b,size_b,cross_edges
328,Baltimore Crew Leadership Families,3,American Mafia Network,111,1
329,Chinese and Southeast Asian Criminal Networks,40,Russian-Japanese Criminal Alliance,8,1
330,US Prison Gangs and Affiliates,51,Sureños Gang Conflicts and Alliances,8,1
331,Turkish Cypriot and Kurdish Crime Networks,5,Turkish-Kurdish Conflict Network,35,1
332,Chinese and Southeast Asian Criminal Networks,40,Aryan Empire Formation,3,1
333,Chinese and Southeast Asian Criminal Networks,40,Texas White Supremacist Prison Gangs,10,1
334,Chinese and Southeast Asian Criminal Networks,40,White Supremacist Terror Network,17,1
335,Colombian Cartels and Paramilitaries,32,Chinese and Southeast Asian Criminal Networks,40,1
336,Chinese and Southeast Asian Criminal Networks,40,LASD Deputy Gangs Network,3,1
337,Bronx Gangs and Peace Efforts,7,Bloods and Crips Rivalry Network,20,1
338,Blue Angels MC and Affiliates,7,Global Outlaw Biker Network,243,1
339,Sicilian Mafia Clans in Trapani,5,American Mafia Network,111,1
340,Brazilian Prison Gangs and Drug Trafficking Networks,54,Corsican Mafia Network,10,1
341,Italian Mafia Network and Offshoots,50,New York Chinatown Gang Conflicts,9,1
342,Global Outlaw Biker Network,243,Maroubra Surf Gangs,2,1
343,Brother Speed and Associates,4,White Supremacist Terror Network,17,1
344,Sydney Assyrian Gang Conflicts,3,Sydney Gangland Feud Network,9,1
345,Sicilian Mafia Clans in Trapani,5,Canadian-Italian Mafia Networks,16,1
346,Italian Mafia Network and Offshoots,50,Ercolano Camorra Feuds and Alliances,9,1
347,Verde Clan Conflicts,3,Italian Mafia Network and Offshoots,50,1
348,French Criminal Lineage from WWII to 1980s,6,American Mafia Network,111,1
349,Sicilian Mafia Factions in Conflict,5,Italian Mafia Network and Offshoots,50,1
350,Calabrian 'Ndrangheta Core Alliance,31,Catania Mafia and Allied Clans,33,1
351,Calabrian 'Ndrangheta Clans Network,47,Catania Mafia and Allied Clans,33,1
352,American Mafia Network,111,Camorra Clans of Quindici,12,1
353,Sicilian Mafia Factions in Conflict,5,Camorra-Cosa Nostra Coalition Network,68,1
354,Vibo Valentia 'Ndrangheta Clans,26,Camorra-Cosa Nostra Coalition Network,68,1
355,Calabrian 'Ndrangheta Clans Network,28,Catania Mafia and Allied Clans,33,1
356,French Criminal Lineage from WWII to 1980s,6,Roman Mafia Networks,19,1
357,Italian Mafia Clans in Conflict,4,Italian Mafia Network and Offshoots,50,1
358,Myanmar Ethnic Armed Groups Network,19,Colombian Paramilitary and Drug Trafficking Networks,45,1
359,Baltimore Crew Leadership Families,3,Italian Mafia Network and Offshoots,50,1
360,Canadian-Italian Mafia Networks,16,London Gangland Rivalries and Alliances,8,1
361,Edmonton Vietnamese Gang Succession,3,Global Outlaw Biker Network,243,1
362,Edmonton Vietnamese Gang Succession,3,Indigenous Canadian Street Gangs,17,1
363,Bloods and Crips Rivalry Network,20,Outlaw Motorcycle Club Network,18,1
364,Greco Clan Rivalry,2,Camorra-Cosa Nostra Coalition Network,68,1
365,Canadian-Italian Mafia Networks,16,Camorra-Cosa Nostra Coalition Network,68,1
366,Early New York Mafia Rivalries,4,Italian Mafia Network and Offshoots,50,1
367,Camorra Clan Conflict,2,Naples Camorra Clans and Alliances,96,1
368,Sydney Assyrian Gang Conflicts,3,New Zealand Gang Alliances and Rivalries,22,1
369,Mexican Cartel Network and Rivalries,159,Japanese Yakuza Syndicate Network,68,1
370,Galveston Crime Succession and Rivalry,4,American Mafia Network,111,1
371,Italian Mafia Network and Offshoots,50,Basque Separatist Network and Allies,14,1
372,Russian Cybercrime Syndicate,4,Sudanese-Russian Paramilitary Network,26,1
373,Bidognetti Faction and Allies,2,Camorra-Cosa Nostra Coalition Network,68,1
374,Schiavone Faction and Autiero Clan,2,Camorra-Cosa Nostra Coalition Network,68,1
375,New York City Street Gangs,17,Early New York Mafia Rivalries,5,1
376,Italian Mafia Network and Offshoots,50,New York City Street Gangs,17,1
377,19th Century New York Street Gangs,21,Interwar London Gang Rivalries,17,1
378,Edmonton Vietnamese Gang Succession,3,British Columbia Gang Conflict Network,38,1
379,White Supremacist Prison Gang Network,5,Global Outlaw Biker Network,243,1
380,Calabrian 'Ndrangheta Clans Network,28,American Mafia Network,111,1
381,Colombian Paramilitary and Drug Trafficking Networks,45,Corsican Mafia Network,10,1
382,UK Drill Gang Rivalries,4,Brixton Gang Network and Splinter Groups,19,1
383,Manchester Gang Rivalries and Alliances,22,London-Jamaica Gang Network,24,1
384,Afghan-Pakistani Jihadist Network,68,Turkish-Kurdish Conflict Network,35,1
385,Global Outlaw Biker Network,243,Ku Klux Klan and Allied Hate Groups,14,1
386,Italian Mafia Network and Offshoots,50,Cape Town Gang Rivalries and Alliances,24,1
387,Danish Biker Gangs and Rivals,5,New Zealand Gang Alliances and Rivalries,22,1
388,Irish Republican and Criminal Networks,24,London Gangland Rivalries and Alliances,8,1
389,Colombian Cartels and Paramilitaries,32,Hells Angels Cocaine Network,2,1
390,Canadian-Italian Mafia Networks,16,Hells Angels Cocaine Network,2,1
391,Calabrian 'Ndrangheta Clans Network,28,Global Outlaw Biker Network,243,1
392,Global Outlaw Biker Network,243,Ecuadorian Cartel Splinter Network,17,1
393,Colombian Cartels and Paramilitaries,32,Axis of Resistance and Palestinian Factions,40,1
394,British Columbia Gang Conflict Network,38,Filipino and Latino Street Gangs in Los Angeles,15,1
395,Bangladeshi Jihadist Offshoot,2,Global Jihadist Network and Affiliates,120,1
396,IS-CAP and ADF Alliance,2,Global Jihadist Network and Affiliates,120,1
397,Philippine IS-affiliated Militant Groups,4,Global Jihadist Network and Affiliates,120,1
398,Mahdi Army Successor Network,2,Global Jihadist Network and Affiliates,120,1
399,Syrian Kurdish-Arab Militia Network,9,Turkish-Kurdish Conflict Network,35,1
400,South Asian Jihadist Network,16,Southeast Asian Islamist Militant Network,14,1
401,Stefanaconi Feud 'Ndrangheta Cluster,5,Italian Mafia Network and Offshoots,50,1
402,Stefanaconi Feud 'Ndrangheta Cluster,5,Vibo Valentia 'Ndrangheta Clans,26,1
403,Stefanaconi Feud 'Ndrangheta Cluster,5,San Luca 'Ndrangheta Clans,17,1
404,American Mafia Network,111,LA-Israel Crime Alliance and Rivalries,9,1
405,Galician Drug Trafficking Rivalries,3,Colombian Paramilitary and Drug Trafficking Networks,45,1
406,Galician Drug Trafficking Rivalries,3,Camorra-Cosa Nostra Coalition Network,68,1
407,Mexican Cartel Network and Rivalries,159,Galician Drug Trafficking Rivalries,3,1
408,Ecuadorian Cartel Splinter Network,17,Italian Mafia Network and Offshoots,50,1
409,Colombian Cartels and Paramilitaries,32,Ecuadorian Cartel Splinter Network,17,1
410,Brazilian Prison Gangs and Drug Trafficking Networks,54,Ecuadorian Cartel Splinter Network,17,1
411,Veneto Mala del Brenta Network,7,Camorra-Cosa Nostra Coalition Network,68,1
412,Congolese Factions Peace Pact,4,Eastern DRC Rebel Alliances,14,1
413,Sudanese-Russian Paramilitary Network,26,Eastern DRC Rebel Alliances,14,1
414,Puerto Rican Criminal Network,16,Italian Mafia Network and Offshoots,50,1
415,Puerto Rican Criminal Network,16,Brooklyn Street Gangs and Rivalries,24,1
416,American Mafia Network,111,Puerto Rican Criminal Network,16,1
417,US Prison Gangs and Affiliates,51,Hmong and Asian American Street Gangs,15,1
418,Sicilian Mafia Clans in Trapani,5,Italian Mafia Network and Offshoots,50,1
419,Sicilian Mafia Clans in Trapani,5,Catania Mafia and Allied Clans,33,1
420,El Monte Flores and Rivals,5,Global Outlaw Biker Network,243,1
421,Canadian-Italian Mafia Networks,16,Calabrian 'Ndrangheta Feuds and Alliances,22,1
422,Miano Clan Conflict,2,Naples Camorra Clans and Alliances,96,1
423,Native Mob and Rival Gangs,6,Bloods and Crips Rivalry Network,20,1
424,Sicilian Mafia Feud,2,American Mafia Network,111,1
425,Oppido Mamertina 'Ndrangheta Feud,13,Camorra-Cosa Nostra Coalition Network,68,1
426,Milanese Gang Rivalry and Alliance,2,Camorra-Cosa Nostra Coalition Network,68,1
427,Nuova Camorra Speciale and Allies,3,Naples Camorra Clans and Alliances,96,1
428,Camorra Clan Feud,2,Camorra-Cosa Nostra Coalition Network,68,1
429,Compton Crips and Rivalries,8,Bloods and Crips Rivalry Network,20,1
430,US Prison Gangs and Affiliates,51,Haitian-American Gang Alliances,15,1
431,Haitian-American Gang Alliances,15,Ku Klux Klan and Allied Hate Groups,14,1
432,American Mafia Network,111,Palermo Mafia Clans and Conflicts,14,1
433,Serbian Mafia and Paramilitary Ties,4,Bari Mafia Clusters and Rivalries,9,1
434,London-Jamaica Gang Network,24,Interwar London Gang Rivalries,17,1
435,Philadelphia Mafia Warring Factions,2,American Mafia Network,111,1
436,Chinese-American Secret Societies and Gangs,5,New York Chinatown Gang Conflicts,9,1
437,Quebec Biker Wars and Alliances,11,Outlaw Motorcycle Club Network,18,1
438,Brazilian Prison Gangs and Drug Trafficking Networks,54,American Mafia Network,111,1
439,Brazilian Prison Gangs and Drug Trafficking Networks,54,Russian-Japanese Criminal Alliance,8,1
440,Sudanese-Russian Paramilitary Network,26,South Asian Jihadist Network,16,1
441,Native Mob and Rival Gangs,6,Indigenous Canadian Street Gangs,17,1
442,Puerto Rican Criminal Network,16,Colombian Paramilitary and Drug Trafficking Networks,45,1
443,Canadian-Italian Mafia Networks,16,Bloods and Crips Rivalry Network,20,1
444,Sydney Larrikin Push Gangs,7,19th Century New York Street Gangs,21,1
445,Japanese Yakuza Syndicate Network,68,Chinese and Southeast Asian Criminal Networks,40,1
446,Ndrangheta High-Rank Structure,2,Italian Mafia Network and Offshoots,50,1
447,Brazilian Prison Gangs and Drug Trafficking Networks,54,Colombian Cartels and Paramilitaries,32,1
448,Serbian Mafia and Paramilitary Ties,4,Serbian-Swedish Criminal Network,12,1
449,Nigerian Confraternity Rivalries,5,Italian Mafia Network and Offshoots,50,1
450,Filipino Gang Rivalries,3,Southeast Asian Islamist Militant Network,14,1
451,Filipino Gang Rivalries,3,Filipino and Latino Street Gangs in Los Angeles,15,1
452,Mexican Cartel Network and Rivalries,159,Russian Mafia Power Struggles,8,1
453,Mexican Cartel Network and Rivalries,159,Bloods and Crips Rivalry Network,20,1
454,Ndrangheta Locali in Calabria,2,Italian Mafia Network and Offshoots,50,1
455,Canadian-Italian Mafia Networks,16,Russian Mafia Power Struggles,8,1
456,American Mafia Network,111,Russian Mafia Power Struggles,8,1
457,Bloods and Crips Rivalry Network,20,Brooklyn Street Gangs and Rivalries,24,1
458,Colombian Cartels and Paramilitaries,32,Russian-Japanese Criminal Alliance,8,1
459,East LA Sureño Gang Conflicts,7,Los Angeles Gang Alliances and Rivalries,29,1
460,White Supremacist Terror Network,17,Ku Klux Klan and Allied Hate Groups,14,1
461,Chinese and Southeast Asian Criminal Networks,40,British Columbia Gang Conflict Network,38,1
462,LA-Israel Crime Alliance and Rivalries,9,Filipino and Latino Street Gangs in Los Angeles,15,1
463,Milanese Gang Rivalry and Alliance,2,Italian Mafia Network and Offshoots,50,1
464,Karenni Rebel Factions,4,Myanmar Ethnic Armed Groups Network,19,1
465,Mexican Cartel Network and Rivalries,159,LA-Israel Crime Alliance and Rivalries,9,1
466,Kadyrovite Network and Adversaries,8,Sudanese-Russian Paramilitary Network,26,1
467,Pro-Russian Militant Motorcycle Club Network,6,Sudanese-Russian Paramilitary Network,26,1
468,Transnational Neo-Nazi Terror Network,34,Sudanese-Russian Paramilitary Network,26,1
469,Sudanese-Russian Paramilitary Network,26,Serbian-Swedish Criminal Network,12,1
470,Wah Kee and Its Offshoots,6,Global Outlaw Biker Network,243,1
471,Canadian-Italian Mafia Networks,16,Irish Republican and Criminal Networks,24,1
472,Mexican Cartel Network and Rivalries,159,Canadian-Italian Mafia Networks,16,1
473,Canadian-Italian Mafia Networks,16,Boston Irish Mob Wars and Consolidation,9,1
474,Los Angeles Gang Alliances and Rivalries,29,Westside Locos and Affiliates,15,1
475,East LA Sureño Gang Conflicts,7,Filipino and Latino Street Gangs in Los Angeles,15,1
476,New York Chinatown Gang Conflicts,9,Hmong and Asian American Street Gangs,15,1
477,Brazilian Prison Gangs and Drug Trafficking Networks,54,Japanese Yakuza Syndicate Network,68,1
478,Serbian Mafia and Paramilitary Ties,4,Italian Mafia Network and Offshoots,50,1
479,Global Outlaw Biker Network,243,Haitian-American Gang Alliances,15,1
480,Los Angeles Gang Alliances and Rivalries,29,Haitian-American Gang Alliances,15,1
