a,b,country_a,country_b,same_country,n_items,items,opposing
Los Negros,Mexikanemi,Mexico,United States,False,3,"['Juárez Cartel', 'Los Zetas', 'Mexican Mafia']",['Los Zetas']
'Ndrangheta,Clan Lubrano-Ligato,Italy,Italy,True,3,"['Banda della Magliana', 'Corleonesi', 'Polverino clan']",[]
Camorra,Cuntrera-Caruana Mafia clan,Italy,Italy,True,3,"[""'Ndrangheta"", 'Cali Cartel', 'Corleonesi']",[]
Clan Lubrano-Ligato,Sicilian Mafia,Italy,Italy,True,3,"['Banda della Magliana', 'Corleonesi', 'Polverino clan']",['Corleonesi']
'Ndrina De Stefano,Clan dei Casamonica,Italy,Italy,True,3,"[""'Ndrina Alvaro"", 'Banda della Magliana', 'Camorra']",[]
'Ndrina De Stefano,Società foggiana,Italy,Italy,True,3,"['Banda della Magliana', 'Camorra', 'Nuova Camorra Organizzata']",['Camorra']
American Mafia,Clan Cappello,United States,Italy,False,3,"[""'Ndrangheta"", 'Camorra', 'Stidda']",['Stidda']
Clan Cappello,Corleonesi,Italy,Italy,True,3,"[""'Ndrangheta"", 'Alfieri clan', 'Camorra']",[]
Clan Cappello,Società foggiana,Italy,Italy,True,3,"[""'Ndrangheta"", ""'Ndrina Trovato"", 'Camorra']",['Camorra']
Clan dei Casamonica,Sicilian Mafia,Italy,Italy,True,3,"[""'Ndrangheta"", 'Banda della Magliana', 'Camorra']","[""'Ndrangheta""]"
Clan dei Casamonica,Società foggiana,Italy,Italy,True,3,"[""'Ndrangheta"", 'Banda della Magliana', 'Camorra']",['Camorra']
Corleonesi,Società foggiana,Italy,Italy,True,3,"[""'Ndrangheta"", 'Camorra', 'Clan Gionta']",['Camorra']
'Ndrina Mammoliti,'Ndrina Pesce,Italy,Italy,True,3,"[""'Ndrina Mazzaferro"", ""'Ndrina Piromalli"", 'Basilischi']","[""'Ndrina Piromalli""]"
Banda della Magliana,Clan dei Casalesi,Italy,Italy,True,3,"[""'Ndrangheta"", 'Nuova Camorra Organizzata', 'Società foggiana']",['Nuova Camorra Organizzata']
Clan Licciardi,Sacra Corona Unita,Italy,Italy,True,3,"[""'Ndrangheta"", 'Clan Di Lauro', 'Polverino clan']",[]
American Mafia,Ñetas,United States,Puerto Rico,False,3,"['Big Circle Gang', 'Latin Kings', 'Martinez Familia Sangeros']",['Latin Kings']
'Ndrina Mammoliti,Banda della Magliana,Italy,Italy,True,3,"[""'Ndrina De Stefano"", ""'Ndrina Romeo"", 'Nuova Camorra Organizzata']","[""'Ndrina De Stefano""]"
'Ndrina Giuliano,Clan Fabbrocino,Italy,Italy,True,3,"['Clan Mazzarella', 'Clan Nuvoletta', 'Nuova Famiglia']",['Clan Mazzarella']
Clan Fabbrocino,Clan Misso,Italy,Italy,True,3,"['Clan Mazzarella', 'Clan Russo dei Quartieri Spagnoli', 'Nuova Famiglia']",['Clan Russo dei Quartieri Spagnoli']
'Ndrina Ierinò,Los Zetas,Italy,Mexico,False,3,"[""Aquino 'ndrina"", ""Commisso 'ndrina"", 'Gulf Cartel']",['Gulf Cartel']
Juárez Cartel,Martinez Familia Sangeros,Mexico,Puerto Rico,False,3,"['Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel']",['Gulf Cartel']
Martinez Familia Sangeros,Tijuana Cartel,Puerto Rico,Mexico,False,3,"['Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel']",['Gulf Cartel']
116th Street Crew,Detroit Partnership,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
116th Street Crew,Lucchese crime family Brooklyn faction,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
116th Street Crew,Patriarca crime family,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
116th Street Crew,Philadelphia crime family,United States,United States,True,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",['Gambino crime family']
116th Street Crew,Trafficante crime family,United States,United States,True,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",[]
Aryan Brotherhood,Bonanno crime family,United States,United States,True,3,"['Chicago Outfit', 'Gambino crime family', 'Philadelphia crime family']",['Gambino crime family']
Aryan Brotherhood,Detroit Partnership,United States,United States,True,3,"['Chicago Outfit', 'Gambino crime family', 'Philadelphia crime family']",[]
Aryan Brotherhood,Lucchese crime family,United States,United States,True,3,"['Chicago Outfit', 'Gambino crime family', 'Philadelphia crime family']",['Gambino crime family']
Aryan Brotherhood,New Orleans crime family,United States,United States,True,3,"['Chicago Outfit', 'Gambino crime family', 'Philadelphia crime family']",['Chicago Outfit']
Chicago Outfit,Latin Kings,United States,United States,True,3,"['Almighty Black P. Stone Nation', 'Gambino crime family', 'Genovese crime family']",[]
Chicago Outfit,Mexican Mafia,United States,United States,True,3,"['Aryan Brotherhood', 'Gambino crime family', 'Los Angeles crime family']",['Aryan Brotherhood']
DeCavalcante crime family,Pagan's Motorcycle Club,United States,United States,True,3,"['Gambino crime family', 'Genovese crime family', 'Philadelphia crime family']",['Gambino crime family']
Detroit Partnership,Greenwich Village Crew,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
Detroit Partnership,Mexican Mafia,United States,United States,True,3,"['Chaldean mafia', 'Gambino crime family', 'Los Angeles crime family']",[]
Greenwich Village Crew,Lucchese crime family Brooklyn faction,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
Greenwich Village Crew,Patriarca crime family,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
Greenwich Village Crew,Philadelphia crime family,United States,United States,True,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",['Gambino crime family']
Greenwich Village Crew,Trafficante crime family,United States,United States,True,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",[]
Los Angeles crime family,Lucchese crime family Brooklyn faction,United States,United States,True,3,"['Colombo crime family', 'Gambino crime family', 'Genovese crime family']",[]
Los Angeles crime family,Nazi Lowriders,United States,United States,True,3,"['Gambino crime family', 'Hells Angels Motorcycle Club', 'Mexican Mafia']",[]
Los Angeles crime family,Sicilian Mafia,United States,Italy,False,3,"['Buffalo crime family', 'Detroit Partnership', 'Gambino crime family']",['Buffalo crime family']
Lucchese crime family Brooklyn faction,Trafficante crime family,United States,United States,True,3,"['Bonanno crime family', 'Gambino crime family', 'Genovese crime family']",[]
Mexican Mafia,Patriarca crime family,United States,United States,True,3,"['Gambino crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",['Hells Angels Motorcycle Club']
Nazi Lowriders,Pagan's Motorcycle Club,United States,United States,True,3,"['Gambino crime family', 'Mongols MC', 'Philadelphia crime family']",[]
Nazi Lowriders,Patriarca crime family,United States,United States,True,3,"['Gambino crime family', 'Hells Angels Motorcycle Club', 'Philadelphia crime family']",[]
New Orleans crime family,Sicilian Mafia,United States,Italy,False,3,"['Buffalo crime family', 'Detroit Partnership', 'Gambino crime family']",[]
Pagan's Motorcycle Club,Patriarca crime family,United States,United States,True,3,"['Gambino crime family', 'Genovese crime family', 'Philadelphia crime family']",[]
Pagan's Motorcycle Club,Trafficante crime family,United States,United States,True,3,"['Gambino crime family', 'Genovese crime family', 'Pittsburgh crime family']",[]
Patriarca crime family,Sicilian Mafia,United States,Italy,False,3,"['Bonanno crime family', 'Detroit Partnership', 'Gambino crime family']",[]
Philadelphia crime family,Sicilian Mafia,United States,Italy,False,3,"['Bonanno crime family', 'Detroit Partnership', 'Gambino crime family']",['Gambino crime family']
Sicilian Mafia,Trafficante crime family,Italy,United States,False,3,"['Bonanno crime family', 'Detroit Partnership', 'Gambino crime family']",[]
American Mafia,Musitano crime family,United States,Canada,False,3,"['Hells Angels Motorcycle Club', 'Siderno Group', 'West End Gang']",['Siderno Group']
American Mafia,Nazi Lowriders,United States,United States,True,3,"['Aryan Brotherhood', 'Hells Angels Motorcycle Club', 'Mexican Mafia']",[]
Brothers Keepers,Rizzuto crime family,Canada,Canada,True,3,"['Hells Angels Motorcycle Club', 'Independent Soldiers', 'Wolfpack Alliance']",[]
Bufalino crime family,San Jose crime family,United States,United States,True,3,"['Hells Angels Motorcycle Club', 'Los Angeles crime family', 'Pittsburgh crime family']",[]
Cotroni crime family,Musitano crime family,Canada,Canada,True,3,"['Hells Angels Motorcycle Club', 'Siderno Group', 'West End Gang']",['Siderno Group']
Kinahan Organised Crime Group,Satan's Choice Motorcycle Club,Ireland,Canada,False,3,"[""'Ndrangheta"", 'Chosen Few Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Musitano crime family,Sinaloa Cartel,Canada,Mexico,False,3,"['Hells Angels Motorcycle Club', 'Independent Soldiers', 'West End Gang']",['Independent Soldiers']
Redd Alert,Wolfpack Alliance,Canada,Canada,True,3,"['Brothers Keepers', 'Hells Angels Motorcycle Club', 'Independent Soldiers']",[]
Rizzuto crime family,Satan's Choice Motorcycle Club,Canada,Canada,True,3,"[""'Ndrangheta"", 'Hells Angels Motorcycle Club', 'West End Gang']",['Hells Angels Motorcycle Club']
Satan's Choice Motorcycle Club,Sinaloa Cartel,Canada,Mexico,False,3,"[""'Ndrangheta"", 'Hells Angels Motorcycle Club', 'West End Gang']",['Hells Angels Motorcycle Club']
Clan dei Casamonica,Nuova Camorra Organizzata,Italy,Italy,True,3,"[""'Ndrangheta"", ""'Ndrina Piromalli"", 'Banda della Magliana']",[]
Basilischi,Clan dei Casalesi,Italy,Italy,True,3,"[""'Ndrangheta"", ""'Ndrina Morabito"", ""'Ndrina Pesce""]",[]
Big Circle Gang,Gulf Cartel,China,Mexico,False,3,"[""'Ndrangheta"", 'Cali Cartel', 'Mara Salvatrucha']",[]
Capriati clan,Clan dei Casalesi,Italy,Italy,True,3,"[""'Ndrangheta"", ""'Ndrina Bellocco"", ""'Ndrina Piromalli""]",[]
Clan Cappello,Clan Licciardi,Italy,Italy,True,3,"[""'Ndrangheta"", ""'Ndrina Giuliano"", 'Mallardo clan']","[""'Ndrina Giuliano""]"
Gambino crime family,Gulf Cartel,United States,Mexico,False,3,"[""'Ndrangheta"", 'Latin Kings', 'Mexican Mafia']",[]
American Mafia,Pittsburgh crime family,United States,United States,True,3,"['Cleveland crime family', 'Outlaws Motorcycle Club', ""Pagan's Motorcycle Club""]",['Cleveland crime family']
Rock Machine Motorcycle Club,Satan's Choice Motorcycle Club,Canada,Canada,True,3,"[""Devil's Disciples Motorcycle Club (Canada)"", 'Outlaws Motorcycle Club', 'West End Gang']",['Outlaws Motorcycle Club']
Bufalino crime family,Kansas City crime family,United States,United States,True,3,"['Cleveland crime family', 'Los Angeles crime family', 'Pittsburgh crime family']",[]
DeCavalcante crime family,Pittsburgh crime family,United States,United States,True,3,"['Cleveland crime family', 'Genovese crime family', 'Philadelphia crime family']",['Cleveland crime family']
Gambino crime family,St. Louis crime family,United States,United States,True,3,"['Chicago Outfit', 'Cleveland crime family', 'Detroit Partnership']",[]
Genovese crime family,St. Louis crime family,United States,United States,True,3,"['Chicago Outfit', 'Cleveland crime family', 'Detroit Partnership']",[]
Los Angeles crime family,Milwaukee crime family,United States,United States,True,3,"['Chicago Outfit', 'Cleveland crime family', 'Kansas City crime family']",['Chicago Outfit']
Milwaukee crime family,New Orleans crime family,United States,United States,True,3,"['Chicago Outfit', 'Cleveland crime family', 'Kansas City crime family']",['Chicago Outfit']
Almighty Black P. Stone Nation,Almighty Gaylords Nation,United States,United States,True,3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
Almighty Black P. Stone Nation,Gambino crime family,United States,United States,True,3,"['Bloods', 'Chicago Outfit', 'Latin Kings']",[]
Almighty Black P. Stone Nation,Nuestra Familia,United States,United States,True,3,"['Black Guerrilla Family', 'Bloods', 'Latin Kings']",[]
Almighty Gaylords Nation,Bloods,United States,United States,True,3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
Almighty Gaylords Nation,Four Corner Hustlers,United States,United States,True,3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
American Mafia,Norteños,United States,United States,True,3,"['Bloods', 'Crips', 'Latin Kings']",[]
American Mafia,Nuestra Familia,United States,United States,True,3,"['Bloods', 'Crips', 'Latin Kings']",[]
Gambino crime family,Norteños,United States,United States,True,3,"['Bloods', 'Crips', 'Latin Kings']",[]
Gambino crime family,Nuestra Familia,United States,United States,True,3,"['Bloods', 'Crips', 'Latin Kings']",[]
Nuestra Familia,People Nation,United States,United States,True,3,"['Bloods', 'Latin Kings', 'Norteños']",[]
38th Street Gang,Venice 13,United States,United States,True,3,"['18th Street Gang', 'Lennox 13', 'Mexican Mafia']",['18th Street Gang']
Black Guerrilla Family,Zoe Pound,United States,United States,True,3,"['Bloods', 'Crips', 'OutLaw Gangster Disciples']",[]
