a,b,country_a,country_b,same_country,n_coop_partners,score_coop_partners,n_adversaries,score_adversaries,coop_partners,adversaries
La Nueva Familia Michoacana,Los Talibanes,Mexico,Mexico,True,1,1,1,3,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Al-Nusra Front,Al-Shabaab,Syria,Somalia,False,1,1,1,3,['Al-Qaeda in the Arabian Peninsula'],['Islamic State']
Alfieri clan,Camorra clan Zaza,Italy,,,2,3,1,1,"['Clan dei Casalesi', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
American Mafia,Clan Gionta,United States,Italy,False,1,3,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Galloping Goose Motorcycle Club,Mongols MC,United States,United States,True,1,1,2,3,['Hells Angels Motorcycle Club'],"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']"
Juárez Cartel,Wolfpack Alliance,Mexico,Canada,False,1,3,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Aryan Brotherhood,Sons of Silence,United States,United States,True,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Armenian Power,Bloods,United States,United States,True,1,2,2,2,['American Mafia'],"['18th Street Gang', 'Mara Salvatrucha']"
Sumiyoshi-kai,Yamaken-gumi,Japan,Japan,True,1,1,1,3,['Yamaguchi-gumi'],['Yamaguchi-gumi']
Comando Classe A,Guardiões do Estado,Brazil,Brazil,True,1,2,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Chicago Outfit,Rochester crime family,United States,United States,True,3,3,1,1,"['Bonanno crime family', 'Buffalo crime family', 'Pittsburgh crime family']",['Buffalo crime family']
Latin Eagles,Tiny Rascal Gang,United States,United States,True,1,1,1,3,['Black Gangster Disciples Nation'],['Latin Kings']
Galloping Goose Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,1,2,3,['Hells Angels Motorcycle Club'],"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']"
American Mafia,Clan Fabbrocino,United States,Italy,False,2,2,1,2,"[""'Ndrangheta"", 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Campanella Park Piru,West Side Piru,,,,3,3,1,1,"['Cedar Block Piru', 'Fruit Town Piru', 'Tree Top Piru']",['Barriox13']
'Ndrina Cataldo,'Ndrina Costa,Italy,Italy,True,3,3,1,1,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""Commisso 'ndrina""]","[""'Ndrina Cordì""]"
Barrio Azteca,Cártel de Caborca,United States,Mexico,False,1,2,1,2,['Juárez Cartel'],['Sinaloa Cartel']
Harakat Hezbollah al-Nujaba,Hezbollah,,Lebanon,,1,1,3,3,['Houthis'],"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']"
Guadalajara Cartel,La Familia Michoacana,Mexico,Mexico,True,3,3,1,1,"['Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",['Gulf Cartel']
Beltrán-Leyva Organization,Wolfpack Alliance,Mexico,Canada,False,1,3,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Almighty Gaylords Nation,Latin Counts,United States,United States,True,2,2,2,2,"['Almighty Vice Lord Nation', 'Latin Brothers']","['Insane Deuces', 'Maniac Latin Disciples']"
Iron Horsemen Motorcycle Club,Red Devils Motorcycle Club,United States,Sweden,False,1,1,2,3,['Hells Angels Motorcycle Club'],"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']"
Dubois brothers,Rizzuto crime family,Canada,Canada,True,2,2,1,2,"['Popeye Moto Club', 'Rock Machine Motorcycle Club']",['Cotroni crime family']
Sibillo clan,Vollaro clan,,Italy,,1,2,1,2,"[""'Ndrina Giuliano""]",['Clan Mazzarella']
Cártel de los Rojos,Los Mazatlecos,Mexico,Mexico,True,1,1,2,3,['Los Zetas'],"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel']"
Clan dei Casalesi,Contini clan,Italy,Italy,True,2,3,1,1,"['Mallardo clan', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Armenian Power,Crips,United States,United States,True,1,2,2,2,['American Mafia'],"['18th Street Gang', 'Mara Salvatrucha']"
Bonde do Maluco,Massa Carcerária,Brazil,Brazil,True,1,2,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Clan Misso,Contini clan,Italy,Italy,True,1,1,1,3,['Nuova Famiglia'],"[""'Ndrina Giuliano""]"
La Raza Nation,Tiny Rascal Gang,United States,United States,True,1,1,1,3,['Crips'],['Latin Kings']
United Nations (gang),White Boy Posse,Canada,Canada,True,1,2,2,2,['Hells Angels Motorcycle Club'],"['Independent Soldiers', 'Redd Alert']"
Longsight Street Soldiers,Rusholme Crew Gangsters,,,,1,3,1,1,['Gooch Close Gang'],['Doddington gang']
Inzerillo Mafia clan,Sicilian Mafia,Italy,Italy,True,2,3,1,1,"['Gambino crime family', 'Greco Mafia clan']",['Corleonesi']
Clan Galasso di Poggiomarino,Sicilian Mafia,Italy,Italy,True,1,3,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Almighty Black P. Stone Nation,Sinaloa Cartel,United States,Mexico,False,1,3,1,1,['Latin Kings'],['18th Street Gang']
Los Choneros,Tijuana Cartel,Ecuador,Mexico,False,1,3,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Asano-gumi,Shinwa-kai,Japan,Japan,True,3,3,1,1,"['Goda-ikka', 'Kyodo-kai', 'Kyosei-kai']",['Yamaguchi-gumi']
Houthis,Palestinian Islamic Jihad,Yemen,Palestine,False,2,3,1,1,"['Hamas', 'Hezbollah']",['Islamic State']
Independent Soldiers,Sons of Silence,Canada,United States,False,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Sinaloa Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,2,3,['Gulf Cartel'],"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Manitoba Warriors,Red Scorpions,Canada,Canada,True,1,2,2,2,['Hells Angels Motorcycle Club'],"['Hells Angels Motorcycle Club', 'Redd Alert']"
Artistas Asesinos,Mara Salvatrucha,Mexico,United States,False,1,3,1,1,['Sinaloa Cartel'],['Juárez Cartel']
10th & Oregon Crew,Gambino crime family,United States,United States,True,1,3,1,1,['Philadelphia crime family'],['Philadelphia crime family']
14K,Independent Soldiers,China,Canada,False,2,3,1,1,"['Hells Angels Motorcycle Club', 'Sinaloa Cartel']",['Luppino crime family']
Houthis,Wagner Group,Yemen,Russia,False,2,2,1,2,"['Hamas', 'Islamic Revolutionary Guard Corps']",['Islamic State']
Crips,Vineland Boys,United States,United States,True,1,1,2,3,['Sinaloa Cartel'],"['18th Street Gang', 'Mexican Mafia']"
Grupo Flechas,Los Viagras,Mexico,Mexico,True,1,1,1,3,['Cártel de Santa Rosa de Lima'],['Cártel de Jalisco Nueva Generación']
Cártel de Santa Rosa de Lima,Los Choneros,Mexico,Ecuador,False,1,3,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Al-Qaeda in the Arabian Peninsula,Hezbollah,Yemen,Lebanon,False,1,1,1,3,['Houthis'],['Islamic State']
Sons of Silence,United Nations (gang),United States,Canada,False,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
'Ndrina Piromalli,Contini clan,Italy,Italy,True,1,3,1,1,"[""Commisso 'ndrina""]","[""'Ndrina Giuliano""]"
Los Mazatlecos,Los Rusos,Mexico,,,1,2,1,2,['La Mayiza'],['Los Chapitos']
Guadalajara Cartel,Guerreros Unidos,Mexico,Mexico,True,2,2,1,2,"['Juárez Cartel', 'Tijuana Cartel']",['Gulf Cartel']
Clan Fabbrocino,Vollaro clan,Italy,Italy,True,3,3,1,1,"['Clan Ascione', 'Clan Nuvoletta', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
18th Street Gang,Ñetas,United States,Puerto Rico,False,1,1,2,3,['Latin Kings'],"['Crips', 'Mara Salvatrucha']"
Clan Gionta,Clan Lubrano-Ligato,Italy,Italy,True,2,3,1,1,"['Clan Nuvoletta', 'Corleonesi']",['Clan dei Casalesi']
Cárteles Unidos,Grupo Flechas,Mexico,Mexico,True,1,1,1,3,['Cártel de Santa Rosa de Lima'],['Cártel de Jalisco Nueva Generación']
Los Chapitos,Los Metros,Mexico,Mexico,True,1,3,1,1,['Cártel de Jalisco Nueva Generación'],['Cártel del Noreste']
Tijuana Cartel,Wolfpack Alliance,Mexico,Canada,False,1,3,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Independent Soldiers,Satan's Choice Motorcycle Club,Canada,Canada,True,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Massa Carcerária,Terceiro Comando Puro,Brazil,Brazil,True,1,2,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Comando Classe A,Terceiro Comando Puro,Brazil,Brazil,True,1,2,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Red Scorpions,White Boy Posse,Canada,Canada,True,1,2,2,2,['Hells Angels Motorcycle Club'],"['Independent Soldiers', 'Redd Alert']"
Camorra clan Zaza,Clan Galasso di Poggiomarino,,Italy,,2,3,1,1,"['Clan dei Casalesi', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Asian Boyz,Mara Salvatrucha,United States,United States,True,1,1,2,3,['Big Circle Gang'],"['Bloods', 'Tiny Rascal Gang']"
Pirus,United Blood Nation,United States,United States,True,2,2,1,2,"['Bloods', 'Sex Money Murder']",['Crips']
Dark Circle,Outlaws Motorcycle Club,,United States,,1,3,1,1,['Rock Machine Motorcycle Club'],['Hells Angels Motorcycle Club']
Mara Salvatrucha,White Fence,United States,United States,True,2,2,2,2,"['Mexican Mafia', 'Temple Street gang']","['Armenian Power', 'Norteños']"
AK81,Bandidos Motorcycle Club,Denmark,United States,False,1,1,2,3,['Hells Angels Motorcycle Club'],"['Black Cobra', 'Loyal to Familia']"
Cártel de Colima,Mara Salvatrucha,Mexico,United States,False,2,2,2,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']","['Juárez Cartel', 'Tijuana Cartel']"
Nazi Lowriders,Tijuana Cartel,United States,Mexico,False,2,3,1,1,"['Mexican Mafia', 'Mongols MC']",['Mara Salvatrucha']
Bonde do Maluco,Comando Classe A,Brazil,Brazil,True,1,2,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Big Circle Gang,Tiny Rascal Gang,China,United States,False,1,1,3,3,['Ghost Shadows'],"['Bloods', 'Crips', 'East Side Longos']"
Philadelphia crime family,Velentzas Organization,United States,United States,True,2,3,1,1,"['Lucchese crime family', 'Philadelphia Greek Mob']",['Gambino crime family']
Loners Motorcycle Club,Popeye Moto Club,Canada,Canada,True,1,1,1,3,['Hells Angels Motorcycle Club'],"[""Satan's Choice Motorcycle Club""]"
Al-Qaeda in the Arabian Peninsula,Taliban,Yemen,Afghanistan,False,2,2,1,2,"['Al-Shabaab', 'Lashkar-e-Taiba']",['Islamic State']
Barrio Azteca,Tren de Aragua,United States,Venezuela,False,2,2,1,2,"['La Empresa', 'La Línea']",['Sinaloa Cartel']
Gulf Cartel,Wolfpack Alliance,Mexico,Canada,False,1,3,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Outlaws Motorcycle Club,Rebels Motorcycle Club,United States,Australia,False,1,1,2,3,['Gypsy Joker Motorcycle Club'],"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Bonanno crime family,Commisso 'ndrina,United States,Italy,False,2,2,1,2,"['Buffalo crime family', 'Cotroni crime family']",['Rizzuto crime family']
Clan Licciardi,Nuova Camorra Organizzata,Italy,Italy,True,1,1,3,3,"[""'Ndrangheta""]","[""'Ndrina Giuliano"", 'Alfieri clan', 'Clan Mazzarella']"
Tijuana Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,2,3,['Gulf Cartel'],"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Comanchero Motorcycle Club,Rockers Motor Club,Australia,Canada,False,1,1,2,3,['Hells Angels Motorcycle Club'],"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']"
Revolutionary Armed Forces of Colombia,Tren de Aragua,Colombia,Venezuela,False,3,3,1,1,"['Comando Vermelho', 'Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital']",['National Liberation Army (Colombia)']
Black Pistons Motorcycle Club,Loners Motorcycle Club,Germany,Canada,False,1,3,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan Fabbrocino,Sacra Corona Unita,Italy,Italy,True,1,1,1,3,"[""'Ndrangheta""]",['Nuova Camorra Organizzata']
Los Lobos,Los Metros,Ecuador,Mexico,False,1,3,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Al-Qaeda,Tahrir al-Sham,Saudi Arabia,,,1,1,2,3,['Taliban'],"['Al-Nusra Front', 'Islamic State']"
Grupo Flechas,La Familia Michoacana,Mexico,Mexico,True,1,1,1,3,['Los Zetas'],['Cártel de Jalisco Nueva Generación']
Dark Circle,Loners Motorcycle Club,,Canada,,1,3,1,1,['Rock Machine Motorcycle Club'],['Hells Angels Motorcycle Club']
Breed Motorcycle Club,Rock Machine Motorcycle Club,United States,Canada,False,1,2,1,2,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan Gionta,Vollaro clan,Italy,Italy,True,2,3,1,1,"['Clan Nuvoletta', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
'Ndrina Condello,Latella 'ndrina,Italy,Italy,True,3,3,1,1,"[""'Ndrina Barreca"", ""'Ndrina Libri"", ""'Ndrina Rosmini""]","[""'Ndrina Barreca""]"
Crips,Tren de Aragua,United States,Venezuela,False,1,1,2,3,['American Mafia'],"['18th Street Gang', 'Latin Kings']"
'Ndrina Imerti,Commisso 'ndrina,Italy,Italy,True,1,1,1,3,"[""'Ndrina Alvaro""]","[""'Ndrina De Stefano""]"
Cártel de Caborca,Los Negros,Mexico,Mexico,True,1,1,2,3,['Juárez Cartel'],"['Gulf Cartel', 'Sinaloa Cartel']"
Annihilators Motorcycle Club,Rock Machine Motorcycle Club,Canada,Canada,True,2,3,1,1,"['Loners Motorcycle Club', 'Outlaws Motorcycle Club']",['Hells Angels Motorcycle Club']
Mexican Mafia,Milenio Cartel,United States,Mexico,False,1,3,1,1,['Sinaloa Cartel'],['Los Zetas']
American Mafia,Clan Galasso di Poggiomarino,United States,Italy,False,1,3,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Cartel de La Guajira,Oficina de Envigado,Colombia,Colombia,True,1,1,2,3,['Autodefensas Unidas de Colombia'],"['Clan del Golfo', 'Tren de Aragua']"
Bonanno crime family,Velentzas Organization,United States,United States,True,1,2,1,2,['Lucchese crime family'],['Gambino crime family']
Latin Kings,Native Mob,United States,United States,True,3,3,1,1,"['Almighty Vice Lord Nation', 'Bloods', 'People Nation']",['Black Gangster Disciples Nation']
Los Rojos,Tijuana Cartel,Mexico,Mexico,True,2,2,2,2,"['Mexican Mafia', 'Sinaloa Cartel']","['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']"
Aryan Brotherhood,United Nations (gang),United States,Canada,False,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Artistas Asesinos,La Familia Michoacana,Mexico,Mexico,True,1,3,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Latin Kings,Los Negros,United States,Mexico,False,1,2,1,2,['Sinaloa Cartel'],['Mara Salvatrucha']
'Ndrina Costa,'Ndrina De Stefano,Italy,Italy,True,1,1,1,3,"[""'Ndrina Mazzaferro""]","[""Commisso 'ndrina""]"
La Línea,Los Ciclones,Mexico,Mexico,True,1,1,2,3,['Cártel de Jalisco Nueva Generación'],"['Cártel del Noreste', 'Sinaloa Cartel']"
Cártel de Jalisco Nueva Generación,Los Ántrax,Mexico,Mexico,True,1,1,2,3,['Los Chapitos'],"['Los Mazatlecos', 'Los Zetas']"
Popular Liberation Army,Tren de Aragua,Colombia,Venezuela,False,1,1,2,3,['Cártel de Jalisco Nueva Generación'],"['Clan del Golfo', 'National Liberation Army (Colombia)']"
Satan's Choice Motorcycle Club,United Nations (gang),Canada,Canada,True,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan Cappello,Corleonesi,Italy,Italy,True,3,3,1,1,"[""'Ndrangheta"", 'Alfieri clan', 'Camorra']",['Sicilian Mafia']
10th & Oregon Crew,Outlaws Motorcycle Club,United States,United States,True,1,2,1,2,['American Mafia'],"[""Pagan's Motorcycle Club""]"
Los Lagartos,Los Tiguerones,Ecuador,Ecuador,True,1,1,1,3,['Cártel de Jalisco Nueva Generación'],['Los Choneros']
'Ndrina Barbaro,'Ndrina De Stefano,Italy,Italy,True,3,3,1,1,"[""'Ndrina Cataldo"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro""]","[""'Ndrina Mammoliti""]"
Grupo Flechas,Tijuana Cartel,Mexico,Mexico,True,1,1,1,3,['Los Zetas'],['Cártel de Jalisco Nueva Generación']
Artistas Asesinos,Nueva Plaza Cartel,Mexico,Mexico,True,1,3,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Latin Kings,National Liberation Army (Colombia),United States,Colombia,False,1,2,1,2,['Sinaloa Cartel'],['Tren de Aragua']
Dead Man Incorporated,Norteños,United States,United States,True,1,3,1,1,['Black Guerrilla Family'],['Aryan Brotherhood']
Bonde do Maluco,Tren de Aragua,Brazil,Venezuela,False,1,3,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Cártel de Jalisco Nueva Generación,Wolfpack Alliance,Mexico,Canada,False,1,3,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Cárteles Unidos,La Barredora,Mexico,Mexico,True,1,2,2,2,['Sinaloa Cartel'],"['Independent Cartel of Acapulco', 'Los Viagras']"
Cártel de los Rojos,Los Negros,Mexico,Mexico,True,1,1,3,3,['Los Zetas'],"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'La Familia Michoacana']"
Breed Motorcycle Club,Mongols MC,United States,United States,True,1,2,1,2,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
'Ndrina Violi,Cotroni crime family,Italy,Canada,False,2,3,1,1,"['Bonanno crime family', 'Luppino crime family']",['Rizzuto crime family']
'Ndrina Condello,'Ndrina Piromalli,Italy,Italy,True,1,1,1,3,"[""'Ndrina Serraino""]","[""'Ndrina De Stefano""]"
Beltrán-Leyva Organization,Tren de Aragua,Mexico,Venezuela,False,2,2,1,2,"['Cártel de Jalisco Nueva Generación', 'La Línea']",['Sinaloa Cartel']
Imperial Gangsters,Latin Kings,,United States,,1,1,3,3,['Spanish Gangster Disciples'],"['Latin Counts', 'Simon City Royals', 'Spanish Gangster Disciples']"
Cártel del Noreste,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,2,3,['Gulf Cartel'],"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
'Ndrina Serraino,Commisso 'ndrina,Italy,Italy,True,2,2,1,2,"[""'Ndrina Alvaro"", ""'Ndrina Piromalli""]","[""'Ndrina De Stefano""]"
Annihilators Motorcycle Club,Mongols MC,Canada,United States,False,2,3,1,1,"['Loners Motorcycle Club', 'Outlaws Motorcycle Club']",['Hells Angels Motorcycle Club']
Terceiro Comando Puro,Tren de Aragua,Brazil,Venezuela,False,1,3,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Fuerza Anti-Unión,Guerreros Unidos,Mexico,Mexico,True,1,2,2,2,['Cártel de Jalisco Nueva Generación'],"['La Familia Michoacana', 'Sinaloa Cartel']"
'Ndrina Gullace,Raso,,,,1,1,1,3,"[""'Ndrina Piromalli""]","[""'Ndrina Facchineri""]"
Breed Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,2,1,2,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
'Ndrina Albanese,Raso,Italy,,,1,1,1,3,"[""'Ndrina Piromalli""]","[""'Ndrina Facchineri""]"
Colombo crime family,Rudaj Organization,United States,United States,True,1,1,2,3,['Gambino crime family'],"['Gambino crime family', 'Lucchese crime family']"
Outlaws Motorcycle Club,Sons of Satan Motorcycle Club,United States,United States,True,1,1,2,3,"[""Pagan's Motorcycle Club""]","['Hells Angels Motorcycle Club', ""Pagan's Motorcycle Club""]"
Almighty Saints,Almighty Vice Lord Nation,United States,United States,True,1,1,2,3,['Latin Kings'],"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']"
Oficina de Envigado,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,2,3,1,1,"['Los Rastrojos', 'Sinaloa Cartel']",['Cartel de Medellín']
Cheetham Hill Gang,Rusholme Crew Gangsters,United Kingdom,,,1,3,1,1,['Gooch Close Gang'],['Doddington gang']
Devils Diciples Motorcycle Club,Hell's Henchmen MC,United States,,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Playboys (gang),Sinaloa Cartel,United States,Mexico,False,2,2,1,1,"['Mara Salvatrucha', 'Mexican Mafia']",['18th Street Gang']
Gypsy Joker Motorcycle Club,Rockers Motor Club,United States,Canada,False,1,1,1,2,['Outlaws Motorcycle Club'],['Bandidos Motorcycle Club']
Commisso 'ndrina,Red Scorpions,Italy,Canada,False,1,1,1,2,['Hells Angels Motorcycle Club'],['Independent Soldiers']
Annihilators Motorcycle Club,Gypsy Joker Motorcycle Club,Canada,United States,False,1,2,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Artistas Asesinos,Los Talibanes,Mexico,Mexico,True,1,2,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Clan Matrone,Moccia clan,Italy,Italy,True,1,1,1,2,['Nuova Famiglia'],['Cesarano clan']
Devils Diciples Motorcycle Club,El Forastero Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Clan Galasso di Poggiomarino,Clan Matrone,Italy,Italy,True,1,2,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Bloods,East Harlem Purple Gang,United States,United States,True,1,2,1,1,['American Mafia'],['Bonanno crime family']
Hell's Henchmen MC,Sons of Silence,,United States,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Devils Diciples Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Armenian Power,Nazi Lowriders,United States,United States,True,1,2,1,1,['Mexican Mafia'],['Mara Salvatrucha']
Clan Matrone,Sicilian Mafia,Italy,Italy,True,1,2,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Independent Soldiers,Rock Machine Motorcycle Club,Canada,Canada,True,1,2,1,1,['Rizzuto crime family'],['Hells Angels Motorcycle Club']
Mongols MC,New Zealand Nomads,United States,New Zealand,False,1,1,2,2,['Hells Angels Motorcycle Club'],"['Hells Angels Motorcycle Club', 'Mongrel Mob']"
Hell's Henchmen MC,Warlocks MC,,,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Big Circle Gang,Sun Yee On,China,Hong Kong,False,1,1,1,2,['American Mafia'],['14K']
Clan Fabbrocino,Clan Galasso di Poggiomarino,Italy,Italy,True,2,2,1,1,"['Clan Nuvoletta', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Cártel del Noreste,South Pacific Cartel,Mexico,Mexico,True,1,1,2,2,['Los Mazatlecos'],"['Gulf Cartel', 'Sinaloa Cartel']"
Chichesters,Roach Guards,United States,United States,True,1,1,1,2,['Dead Rabbits'],['Bowery Boys']
Cártel Independiente de Sonora,Los Mexicles,Mexico,Mexico,True,1,1,2,2,['Artistas Asesinos'],"['Juárez Cartel', 'La Línea']"
Norteños,Ñetas,United States,Puerto Rico,False,1,1,1,2,['Latin Kings'],['Mara Salvatrucha']
Hells Angels Motorcycle Club,Wild Ones,United States,,,1,1,2,2,['Musitano crime family'],"['Outlaws Motorcycle Club', ""Satan's Choice Motorcycle Club""]"
Al-Qaeda in the Arabian Peninsula,Hamas,Yemen,Palestine,False,1,1,1,2,['Houthis'],['Islamic State']
Bala na Cara,Bonde dos 40,Brazil,Brazil,True,1,1,1,2,['Comando Vermelho'],['Primeiro Comando da Capital']
Hell's Henchmen MC,Mongols MC,,United States,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Clan dei Casalesi,Nuova camorra pugliese,Italy,Italy,True,2,2,1,1,"[""'Ndrangheta"", 'Nuova Camorra Organizzata']",['Nuova Camorra Organizzata']
Cárteles Unidos,Mexican Mafia,Mexico,United States,False,1,2,1,1,['Sinaloa Cartel'],['Los Zetas']
Clan Nuvoletta,Contini clan,Italy,Italy,True,2,2,1,1,"['Clan Licciardi', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Comando Vermelho,Sinaloa Cartel,Brazil,Mexico,False,1,2,1,1,['Revolutionary Armed Forces of Colombia'],['Tren de Aragua']
Guerreros Unidos,Los Talibanes,Mexico,Mexico,True,1,1,1,2,['Cártel de Jalisco Nueva Generación'],['Cártel de Jalisco Nueva Generación']
Knights Templar Cartel,La Barredora,Mexico,Mexico,True,1,2,1,1,['Sinaloa Cartel'],['Los Viagras']
18th Street Gang,People Nation,United States,United States,True,2,2,1,1,"['Latin Kings', 'Norteños']",['Crips']
Crips,Los Negros,United States,Mexico,False,1,1,2,2,['Sinaloa Cartel'],"['18th Street Gang', 'Mara Salvatrucha']"
Chichesters,Plug Uglies,United States,United States,True,1,2,1,1,['Dead Rabbits'],['Bowery Boys']
Cártel de Santa Rosa de Lima,La Mayiza,Mexico,,,1,2,1,1,['Grupo Flechas'],['Cártel de Jalisco Nueva Generación']
'Ndrina Cerra-Torcasio-Gualtieri,'Ndrina Torcasio,,Italy,,1,1,2,2,"[""'Ndrina Strangio""]","[""'Ndrina Giampà"", ""'Ndrina Iannazzo""]"
Bloods,Lucchese crime family,United States,United States,True,2,2,1,1,"['Gambino crime family', 'United Blood Nation']",['Bonanno crime family']
'Ndrina Fontana,'Ndrina Serraino,,Italy,,2,2,1,1,"[""'Ndrina Condello"", ""'Ndrina Imerti""]","[""'Ndrina Barreca""]"
Clan De Luca Bossa,Mallardo clan,Italy,Italy,True,1,2,1,1,['Secondigliano Alliance'],['Clan Mazzarella']
Hell's Henchmen MC,Loners Motorcycle Club,,Canada,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Knights Templar Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,1,2,['Gulf Cartel'],['Cártel de Jalisco Nueva Generación']
Los Zetas,Vineland Boys,Mexico,United States,False,1,1,2,2,['Sinaloa Cartel'],"['18th Street Gang', 'Mexican Mafia']"
Red Scorpions,Sons of Silence,Canada,United States,False,1,2,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Big Circle Gang,Latin Kings,China,United States,False,2,2,1,1,"['American Mafia', 'Ñetas']",['Crips']
Black Gangster Disciples Nation,Black Guerrilla Family,United States,United States,True,2,2,1,1,"['Black Disciples', 'Crips']",['Sex Money Murder']
Logan Heights Gang,Nazi Lowriders,United States,United States,True,1,1,2,2,['Mexican Mafia'],"['Mara Salvatrucha', 'Norteños']"
Diablos Motorcycle Club,Red Devils Motorcycle Club,United States,Sweden,False,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Bonanno crime family,Nazi Lowriders,United States,United States,True,2,2,1,1,"['Gambino crime family', 'Philadelphia crime family']",['Bloods']
Sons of Silence,Warlocks MC,United States,,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
